"序號","分類","學測範圍標記","字母","級別","單字或片語","詞性","中文釋義","中文釋義原文","考題出現次數","來源"
"803","高中英文參考詞彙表","學測核心參考","C","第三級","capable","形容詞","有...的能力","[形容詞] 有...的能力","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"804","高中英文參考詞彙表","學測核心參考","C","第四級","capacity","名詞","容量,容積","[名詞] 容量,容積","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"805","高中英文參考詞彙表","進階/分科參考","C","第六級","cape","名詞","岬,海角","[名詞] 岬,海角","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"806","高中英文參考詞彙表","學測核心參考","C","第二級","capital","形容詞 / 名詞","可處死刑的;大寫字母的; 首都;首府;資本;大寫字母","[形容詞] 可處死刑的;大寫字母的; [名詞] 首都;首府;資本;大寫字母","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"807","高中英文參考詞彙表","學測核心參考","C","第四級","capitalism","名詞","資本主義","[名詞] 資本主義","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"808","高中英文參考詞彙表","學測核心參考","C","第四級","capitalist","名詞","資本主義者","[名詞] 資本主義者","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"809","高中英文參考詞彙表","進階/分科參考","C","第六級","capsule","名詞","小盒;膠囊;太空艙","[名詞] 小盒;膠囊;太空艙","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"810","高中英文參考詞彙表","學測核心參考","C","第三級","captain","名詞","隊長;機長;艦長","[名詞] 隊長;機長;艦長","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"811","高中英文參考詞彙表","進階/分科參考","C","第六級","caption","動詞 / 名詞","加標題於; 標題;字幕","[動詞] 加標題於; [名詞] 標題;字幕","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"812","高中英文參考詞彙表","進階/分科參考","C","第六級","captive","形容詞 / 名詞","被俘的;被迷住的; 俘虜;獵獲物;著迷的人","[形容詞] 被俘的;被迷住的; [名詞] 俘虜;獵獲物;著迷的人","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"813","高中英文參考詞彙表","進階/分科參考","C","第六級","captivity","名詞","囚禁;束縛","[名詞] 囚禁;束縛","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"814","高中英文參考詞彙表","學測核心參考","C","第三級","capture","動詞 / 名詞","捕獲;俘虜; 佔領;獲得","[動詞] 捕獲;俘虜; [名詞] 佔領;獲得","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"815","高中英文參考詞彙表","學測核心參考","C","第一級","car","名詞","汽車","[名詞] 汽車","35","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"816","高中英文參考詞彙表","進階/分科參考","C","第五級","carbon","名詞","碳;複寫紙","[名詞] 碳;複寫紙","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"817","高中英文參考詞彙表","學測核心參考","C","第一級","card","名詞","卡片","[名詞] 卡片","22","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"818","高中英文參考詞彙表","進階/分科參考","C","第六級","cardboard","名詞","硬紙板;卡紙板","[名詞] 硬紙板;卡紙板","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"819","高中英文參考詞彙表","進階/分科參考","C","第六級","cardinal","形容詞 / 名詞","主要的;深紅的;紅衣主教的; 基數；紅衣主教;深紅色;北美紅雀","[形容詞] 主要的;深紅的;紅衣主教的; [名詞] 基數；紅衣主教;深紅色;北美紅雀","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"820","高中英文參考詞彙表","","C","附　錄","Cardinal Numbers","片語","基數","[片語] 基數","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"821","高中英文參考詞彙表","學測核心參考","C","第一級","care","動詞 / 名詞","關心;照顧; 看護;保護;照料;管理;關懷;小心","[動詞] 關心;照顧; [名詞] 看護;保護;照料;管理;關懷;小心","33","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"822","高中英文參考詞彙表","學測核心參考","C","第三級","career","名詞","職業;生涯;歷程","[名詞] 職業;生涯;歷程","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"823","高中英文參考詞彙表","進階/分科參考","C","第六級","carefree","形容詞","無憂無慮的;輕鬆愉快的","[形容詞] 無憂無慮的;輕鬆愉快的","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"824","高中英文參考詞彙表","學測核心參考","C","第一級","careful","形容詞","小心的","[形容詞] 小心的","28","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"825","高中英文參考詞彙表","進階/分科參考","C","第六級","caretaker","名詞","照顧者;管理人","[名詞] 照顧者;管理人","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"826","高中英文參考詞彙表","學測核心參考","C","第四級","cargo","名詞","(船、飛機、車輛裝載的)貨物","[名詞] (船、飛機、車輛裝載的)貨物","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"827","高中英文參考詞彙表","進階/分科參考","C","第五級","carnival","名詞","狂歡節;嘉年華會","[名詞] 狂歡節;嘉年華會","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"828","高中英文參考詞彙表","學測核心參考","C","第三級","carpenter","名詞","木工,木匠","[名詞] 木工,木匠","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"829","高中英文參考詞彙表","學測核心參考","C","第三級","carpet","動詞 / 名詞","在...上鋪地毯;斥責; 地毯","[動詞] 在...上鋪地毯;斥責; [名詞] 地毯","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"830","高中英文參考詞彙表","學測核心參考","C","第三級","carriage","名詞","運輸;運費","[名詞] 運輸;運費","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"831","高中英文參考詞彙表","學測核心參考","C","第四級","carrier","名詞","運送人;從事運輸業公司;帶菌者","[名詞] 運送人;從事運輸業公司;帶菌者","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"832","高中英文參考詞彙表","學測核心參考","C","第一級","carrot","名詞","胡蘿蔔","[名詞] 胡蘿蔔","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"833","高中英文參考詞彙表","學測核心參考","C","第一級","carry","動詞","提;搬運","[動詞] 提;搬運","13","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"834","高中英文參考詞彙表","學測核心參考","C","第三級","cart","動詞 / 名詞","用運貨車裝運; 手推車","[動詞] 用運貨車裝運; [名詞] 手推車","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"835","高中英文參考詞彙表","進階/分科參考","C","第六級","carton","名詞","紙盒;紙板箱","[名詞] 紙盒;紙板箱","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"836","高中英文參考詞彙表","學測核心參考","C","第二級","cartoon","動詞 / 名詞","畫漫畫;畫草圖; 卡通","[動詞] 畫漫畫;畫草圖; [名詞] 卡通","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"837","高中英文參考詞彙表","學測核心參考","C","第四級","carve","動詞","刻,雕刻","[動詞] 刻,雕刻","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"838","高中英文參考詞彙表","學測核心參考","C","第一級","case","動詞 / 名詞","把...裝入箱(或容器)中; 盒子;案件","[動詞] 把...裝入箱(或容器)中; [名詞] 盒子;案件","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"839","高中英文參考詞彙表","學測核心參考","C","第二級","cash","動詞 / 名詞","兌現; 現款","[動詞] 兌現; [名詞] 現款","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"840","高中英文參考詞彙表","進階/分科參考","C","第六級","cashier","名詞","出納員","[名詞] 出納員","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"841","高中英文參考詞彙表","進階/分科參考","C","第五級","casino","名詞","賭場","[名詞] 賭場","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"842","高中英文參考詞彙表","學測核心參考","C","第三級","cast","動詞 / 名詞","投,擲; 選派...扮演角色; 鑄型;模子;投;擲;拋","[動詞] 投,擲; 選派...扮演角色; [名詞] 鑄型;模子;投;擲;拋","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"843","高中英文參考詞彙表","學測核心參考","C","第二級","castle","名詞","城堡","[名詞] 城堡","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"844","高中英文參考詞彙表","學測核心參考","C","第三級","casual","形容詞","非正式的;隨便的","[形容詞] 非正式的;隨便的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"845","高中英文參考詞彙表","進階/分科參考","C","第六級","casualty","名詞","傷亡人員","[名詞] 傷亡人員","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"846","高中英文參考詞彙表","學測核心參考","C","第一級","cat","名詞","貓","[名詞] 貓","13","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"847","高中英文參考詞彙表","學測核心參考","C","第四級","catalogue","動詞 / 名詞","為...編目;登記,記載; 目錄;大學概況一覽;登記,記載","[動詞] 為...編目;登記,記載; [名詞] 目錄;大學概況一覽;登記,記載","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"848","高中英文參考詞彙表","進階/分科參考","C","第六級","catastrophe","名詞","大災難;慘敗","[名詞] 大災難;慘敗","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"849","高中英文參考詞彙表","學測核心參考","C","第一級","catch","動詞 / 名詞","接(球);捕獲; 抓住,捕捉;接球;把手;圈套","[動詞] 接(球);捕獲; [名詞] 抓住,捕捉;接球;把手;圈套","20","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"850","高中英文參考詞彙表","學測核心參考","C","第四級","category","名詞","種類;類別","[名詞] 種類;類別","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"851","高中英文參考詞彙表","進階/分科參考","C","第六級","cater","動詞","承辦宴席;迎合","[動詞] 承辦宴席;迎合","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"852","高中英文參考詞彙表","進階/分科參考","C","第六級","caterpillar","名詞","履帶牽引車","[名詞] 履帶牽引車","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"853","高中英文參考詞彙表","進階/分科參考","C","第五級","cathedral","名詞","大教堂","[名詞] 大教堂","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"854","高中英文參考詞彙表","","C","附　錄","Catholic","名詞","天主教徒","[名詞] 天主教徒","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"855","高中英文參考詞彙表","","C","附　錄","Catholicism","名詞","天主教","[名詞] 天主教","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"856","高中英文參考詞彙表","學測核心參考","C","第三級","cattle","名詞","牛;牲口,家畜","[名詞] 牛;牲口,家畜","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"857","高中英文參考詞彙表","學測核心參考","C","第二級","cause","動詞 / 名詞","導致,使發生,引起; 原因;理由","[動詞] 導致,使發生,引起; [名詞] 原因;理由","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"858","高中英文參考詞彙表","進階/分科參考","C","第五級","caution","動詞 / 名詞","警告;使小心; 小心;謹慎;警告","[動詞] 警告;使小心; [名詞] 小心;謹慎;警告","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"859","高中英文參考詞彙表","進階/分科參考","C","第五級","cautious","形容詞","十分小心的;謹慎的","[形容詞] 十分小心的;謹慎的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"860","高中英文參考詞彙表","學測核心參考","C","第三級","cave","動詞 / 名詞","塌落,倒坍; 洞穴,洞窟","[動詞] 塌落,倒坍; [名詞] 洞穴,洞窟","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"861","高中英文參考詞彙表","進階/分科參考","C","第六級","cavity","名詞","洞;(身體的)腔;(牙的)蛀洞","[名詞] 洞;(身體的)腔;(牙的)蛀洞","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"862","高中英文參考詞彙表","學測核心參考","C","第四級","cease","動詞 / 名詞","停止,終止; 停息","[動詞] 停止,終止; [名詞] 停息","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"863","高中英文參考詞彙表","學測核心參考","C","第二級","ceiling","名詞","天花板","[名詞] 天花板","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"864","高中英文參考詞彙表","學測核心參考","C","第一級","celebrate","動詞","慶祝","[動詞] 慶祝","20","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"865","高中英文參考詞彙表","學測核心參考","C","第四級","celebration","名詞","慶祝","[名詞] 慶祝","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"866","高中英文參考詞彙表","進階/分科參考","C","第五級","celebrity","名詞","名人;名流","[名詞] 名人;名流","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"867","高中英文參考詞彙表","進階/分科參考","C","第六級","celery","名詞","芹菜","[名詞] 芹菜","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"868","高中英文參考詞彙表","學測核心參考","C","第二級","cell","名詞","單人牢房;細胞;蜂房的巢室;電池","[名詞] 單人牢房;細胞;蜂房的巢室;電池","11","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"869","高中英文參考詞彙表","學測核心參考","C","第一級","cellphone","名詞","手機,大哥大","[名詞] 手機,大哥大","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"870","高中英文參考詞彙表","進階/分科參考","C","第六級","cellular","形容詞","細胞的","[形容詞] 細胞的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"871","高中英文參考詞彙表","進階/分科參考","C","第六級","Celsius","名詞","攝氏溫度","[名詞] 攝氏溫度","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"872","高中英文參考詞彙表","進階/分科參考","C","第六級","cement","動詞 / 名詞","黏緊,黏牢; 水泥","[動詞] 黏緊,黏牢; [名詞] 水泥","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"873","高中英文參考詞彙表","進階/分科參考","C","第五級","cemetery","名詞","公墓;墓地","[名詞] 公墓;墓地","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"874","高中英文參考詞彙表","進階/分科參考","C","第六級","census","名詞","人口普查","[名詞] 人口普查","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"875","高中英文參考詞彙表","學測核心參考","C","第一級","cent","名詞","分(錢幣)","[名詞] 分(錢幣)","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"876","高中英文參考詞彙表","學測核心參考","C","第一級","center","名詞","中心(點)","[名詞] 中心(點)","15","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"877","高中英文參考詞彙表","學測核心參考","C","第二級","centimeter","名詞","公分","[名詞] 公分","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"878","高中英文參考詞彙表","學測核心參考","C","第二級","central","形容詞","中央的","[形容詞] 中央的","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"879","高中英文參考詞彙表","學測核心參考","C","第二級","century","名詞","一世紀","[名詞] 一世紀","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"880","高中英文參考詞彙表","進階/分科參考","C","第六級","ceramic","形容詞 / 名詞","陶器的;製陶藝術的; 陶瓷;陶瓷製品","[形容詞] 陶器的;製陶藝術的; [名詞] 陶瓷;陶瓷製品","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"881","高中英文參考詞彙表","學測核心參考","C","第二級","cereal","名詞","麥片","[名詞] 麥片","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"882","高中英文參考詞彙表","進階/分科參考","C","第五級","ceremony","名詞","儀式,典禮","[名詞] 儀式,典禮","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"883","高中英文參考詞彙表","學測核心參考","C","第一級","certain","形容詞 / 代名詞","肯定的; 某幾個;某些","[形容詞] 肯定的; [代名詞] 某幾個;某些","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"884","高中英文參考詞彙表","進階/分科參考","C","第五級","certainty","名詞","確實;必然","[名詞] 確實;必然","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"885","高中英文參考詞彙表","進階/分科參考","C","第五級","certificate","動詞 / 名詞","發證書給;用證書批准; 證明書;執照","[動詞] 發證書給;用證書批准; [名詞] 證明書;執照","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"886","高中英文參考詞彙表","進階/分科參考","C","第六級","certify","動詞","證明;保證;發證書(或執照等)","[動詞] 證明;保證;發證書(或執照等)","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"887","高中英文參考詞彙表","學測核心參考","C","第二級","chain","動詞 / 名詞","拘禁;束縛; 鏈條;項圈","[動詞] 拘禁;束縛; [名詞] 鏈條;項圈","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"888","高中英文參考詞彙表","學測核心參考","C","第一級","chair","動詞 / 名詞","主持(會議);任(會議的)主席; 椅子","[動詞] 主持(會議);任(會議的)主席; [名詞] 椅子","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"889","高中英文參考詞彙表","進階/分科參考","C","第六級","chairman","名詞","主席","[名詞] 主席","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"890","高中英文參考詞彙表","進階/分科參考","C","第六級","chairperson","名詞","主席(沒有性別歧視的字眼)","[名詞] 主席(沒有性別歧視的字眼)","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"891","高中英文參考詞彙表","進階/分科參考","C","第六級","chairwoman","名詞","女主席;女議長","[名詞] 女主席;女議長","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"892","高中英文參考詞彙表","學測核心參考","C","第二級","chalk","動詞 / 名詞","使變白;畫出...的草圖;規劃;記下; 粉筆","[動詞] 使變白;畫出...的草圖;規劃;記下; [名詞] 粉筆","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"893","高中英文參考詞彙表","學測核心參考","C","第二級","challenge","動詞 / 名詞","對...提出異議; 挑戰;艱鉅的事","[動詞] 對...提出異議; [名詞] 挑戰;艱鉅的事","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"894","高中英文參考詞彙表","學測核心參考","C","第四級","chamber","名詞","室,房間;議院","[名詞] 室,房間;議院","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"895","高中英文參考詞彙表","進階/分科參考","C","第六級","champagne","名詞","香檳酒;香檳酒色","[名詞] 香檳酒;香檳酒色","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"896","高中英文參考詞彙表","學測核心參考","C","第三級","champion","名詞","優勝者,冠軍","[名詞] 優勝者,冠軍","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"897","高中英文參考詞彙表","學測核心參考","C","第四級","championship","名詞","冠軍的地位","[名詞] 冠軍的地位","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"898","高中英文參考詞彙表","學測核心參考","C","第一級","chance","動詞 / 名詞","冒...的險;賭(錢); 碰巧; 機會","[動詞] 冒...的險;賭(錢); 碰巧; [名詞] 機會","24","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"899","高中英文參考詞彙表","學測核心參考","C","第一級","change","動詞 / 名詞","改變;更改; 零錢","[動詞] 改變;更改; [名詞] 零錢","49","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"900","高中英文參考詞彙表","學測核心參考","C","第二級","channel","動詞 / 名詞","在...開水道;傳送; 管道;頻道","[動詞] 在...開水道;傳送; [名詞] 管道;頻道","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"901","高中英文參考詞彙表","進階/分科參考","C","第六級","chant","動詞 / 名詞","反覆地唱(或說);吟誦; 詠唱;吟誦;單調的語調","[動詞] 反覆地唱(或說);吟誦; [名詞] 詠唱;吟誦;單調的語調","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"902","高中英文參考詞彙表","進階/分科參考","C","第五級","chaos","名詞","混亂;雜亂的一團","[名詞] 混亂;雜亂的一團","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"903","高中英文參考詞彙表","進階/分科參考","C","第五級","chapel","名詞","小禮拜堂","[名詞] 小禮拜堂","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"904","高中英文參考詞彙表","學測核心參考","C","第二級","chapter","名詞","(書籍的)章,回","[名詞] (書籍的)章,回","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"905","高中英文參考詞彙表","學測核心參考","C","第二級","character","名詞","特性;角色;(中文)字","[名詞] 特性;角色;(中文)字","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"906","高中英文參考詞彙表","學測核心參考","C","第四級","characteristic","形容詞 / 名詞","特有的,獨特的; 特性,特徵","[形容詞] 特有的,獨特的; [名詞] 特性,特徵","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"907","高中英文參考詞彙表","進階/分科參考","C","第五級","characterize","動詞","描繪...的特性;具有...的特徵","[動詞] 描繪...的特性;具有...的特徵","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"908","高中英文參考詞彙表","學測核心參考","C","第二級","charge","動詞 / 名詞","索價;充電; 費用;充電","[動詞] 索價;充電; [名詞] 費用;充電","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"909","高中英文參考詞彙表","進階/分科參考","C","第六級","charitable","形容詞","慈善的;寬容的","[形容詞] 慈善的;寬容的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"910","高中英文參考詞彙表","學測核心參考","C","第四級","charity","名詞","施捨;善舉","[名詞] 施捨;善舉","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"911","高中英文參考詞彙表","學測核心參考","C","第三級","charm","動詞 / 名詞","使陶醉; 魅力","[動詞] 使陶醉; [名詞] 魅力","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"912","高中英文參考詞彙表","學測核心參考","C","第二級","chart","名詞","圖表","[名詞] 圖表","6","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"913","高中英文參考詞彙表","學測核心參考","C","第二級","chase","動詞 / 名詞","追; 追逐;追擊","[動詞] 追; [名詞] 追逐;追擊","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"914","高中英文參考詞彙表","學測核心參考","C","第三級","chat","動詞 / 名詞","閒談,聊天; 閒談,聊天","[動詞] 閒談,聊天; [名詞] 閒談,聊天","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"915","高中英文參考詞彙表","學測核心參考","C","第一級","cheap","形容詞 / 副詞","便宜的; 便宜地;卑鄙地","[形容詞] 便宜的; [副詞] 便宜地;卑鄙地","9","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"916","高中英文參考詞彙表","學測核心參考","C","第二級","cheat","動詞 / 名詞","欺騙;作弊; 騙子;欺詐,欺騙,作弊","[動詞] 欺騙;作弊; [名詞] 騙子;欺詐,欺騙,作弊","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"917","高中英文參考詞彙表","學測核心參考","C","第一級","check","動詞 / 名詞","檢查; 支票;買單","[動詞] 檢查; [名詞] 支票;買單","19","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"918","高中英文參考詞彙表","進階/分科參考","C","第六級","checkup","名詞","檢查;體檢","[名詞] 檢查;體檢","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
"919","高中英文參考詞彙表","學測核心參考","C","第三級","cheek","名詞","臉頰;腮幫子","[名詞] 臉頰;腮幫子","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=25"
