"序號","分類","字母","級別","單字或片語","詞性","中文釋義","中文釋義原文","考題出現次數","來源"
"319","國中會考英文常用2000字詞","C","常用800","childlike","形容詞","天真爛漫的","[形容詞] 天真爛漫的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"320","國中會考英文常用2000字詞","C","常用800","chin","名詞","下巴","[名詞] 下巴","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"321","國中會考英文常用2000字詞","C","基本1200","China","名詞","中國","[名詞] 中國","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"322","國中會考英文常用2000字詞","C","基本1200","Chinese","形容詞 / 名詞","中國的;中國人的; 中文;中國人","[形容詞] 中國的;中國人的; [名詞] 中文;中國人","14","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"323","國中會考英文常用2000字詞","C","基本1200","chocolate","名詞","巧克力","[名詞] 巧克力","8","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"324","國中會考英文常用2000字詞","C","基本1200","choice","形容詞 / 名詞","上等的,精選的;挑三揀四的; 選擇","[形容詞] 上等的,精選的;挑三揀四的; [名詞] 選擇","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"325","國中會考英文常用2000字詞","C","基本1200","choose","動詞","選擇;挑選","[動詞] 選擇;挑選","9","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"326","國中會考英文常用2000字詞","C","基本1200","chopsticks","名詞","筷子","[名詞] 筷子","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"327","國中會考英文常用2000字詞","C","基本1200","Christmas","名詞","耶誕節","[名詞] 耶誕節","13","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"328","國中會考英文常用2000字詞","C","常用800","chubby","形容詞","圓胖的","[形容詞] 圓胖的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"329","國中會考英文常用2000字詞","C","基本1200","church","名詞","教堂","[名詞] 教堂","11","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"330","國中會考英文常用2000字詞","C","基本1200","circle","動詞 / 名詞","畫圓圈;圈出;盤旋;流傳; 圓圈;集團","[動詞] 畫圓圈;圈出;盤旋;流傳; [名詞] 圓圈;集團","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"331","國中會考英文常用2000字詞","C","基本1200","city","名詞","都市","[名詞] 都市","49","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"332","國中會考英文常用2000字詞","C","基本1200","clap","動詞 / 名詞","拍(手);鼓(掌); 拍手喝采(聲);霹靂聲;輕拍","[動詞] 拍(手);鼓(掌); [名詞] 拍手喝采(聲);霹靂聲;輕拍","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"333","國中會考英文常用2000字詞","C","基本1200","class","動詞 / 名詞","把...分類;把...分等級; 階級;班級;上課","[動詞] 把...分類;把...分等級; [名詞] 階級;班級;上課","52","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"334","國中會考英文常用2000字詞","C","常用800","classical","形容詞","古典的","[形容詞] 古典的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"335","國中會考英文常用2000字詞","C","基本1200","classmate","名詞","同班同學","[名詞] 同班同學","21","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"336","國中會考英文常用2000字詞","C","基本1200","classroom","名詞","教室","[名詞] 教室","11","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"337","國中會考英文常用2000字詞","C","基本1200","clean","形容詞 / 動詞 / 副詞 / 名詞","乾淨的; 打掃; 完全地,全然地;乾淨地; 打掃;去垢","[形容詞] 乾淨的; [動詞] 打掃; [副詞] 完全地,全然地;乾淨地; [名詞] 打掃;去垢","24","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"338","國中會考英文常用2000字詞","C","基本1200","clear","形容詞 / 動詞 / 副詞","清楚的;晴朗的; 使乾淨;收拾;交換票據; 清晰地,明瞭地","[形容詞] 清楚的;晴朗的; [動詞] 使乾淨;收拾;交換票據; [副詞] 清晰地,明瞭地","23","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"339","國中會考英文常用2000字詞","C","基本1200","clerk","名詞","店員;辦事員;職員","[名詞] 店員;辦事員;職員","6","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"340","國中會考英文常用2000字詞","C","常用800","clever","形容詞","聰明伶俐的","[形容詞] 聰明伶俐的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"341","國中會考英文常用2000字詞","C","常用800","climate","名詞","氣候","[名詞] 氣候","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"342","國中會考英文常用2000字詞","C","基本1200","climb","動詞 / 名詞","爬;攀登; 攀登,攀爬","[動詞] 爬;攀登; [名詞] 攀登,攀爬","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"343","國中會考英文常用2000字詞","C","基本1200","clock","名詞","鐘","[名詞] 鐘","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"344","國中會考英文常用2000字詞","C","基本1200","close","形容詞 / 動詞 / 副詞 / 名詞","近的;密切的; 關上; 接近,靠近地;緊密地,緊緊地; 結束,終止;(金融)收盤價","[形容詞] 近的;密切的; [動詞] 關上; [副詞] 接近,靠近地;緊密地,緊緊地; [名詞] 結束,終止;(金融)收盤價","19","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"345","國中會考英文常用2000字詞","C","常用800","closet","名詞","壁櫥;衣櫥","[名詞] 壁櫥;衣櫥","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"346","國中會考英文常用2000字詞","C","基本1200","clothes","名詞","衣服","[名詞] 衣服","20","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"347","國中會考英文常用2000字詞","C","基本1200","cloud","動詞 / 名詞","陰雲密佈;變暗;變模糊;變混濁; 雲","[動詞] 陰雲密佈;變暗;變模糊;變混濁; [名詞] 雲","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"348","國中會考英文常用2000字詞","C","基本1200","cloudy","形容詞","多雲的;陰天的","[形容詞] 多雲的;陰天的","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"349","國中會考英文常用2000字詞","C","基本1200","club","動詞 / 名詞","募集;捐獻;集資;聯合起來; 俱樂部;夜總會;社團","[動詞] 募集;捐獻;集資;聯合起來; [名詞] 俱樂部;夜總會;社團","9","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"350","國中會考英文常用2000字詞","C","常用800","coach","動詞 / 名詞","訓練,指導,輔導;乘馬車旅行; 教練","[動詞] 訓練,指導,輔導;乘馬車旅行; [名詞] 教練","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"351","國中會考英文常用2000字詞","C","常用800","coast","名詞","海岸","[名詞] 海岸","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"352","國中會考英文常用2000字詞","C","基本1200","coat","動詞 / 名詞","塗在...上;給...穿上外套; 外套","[動詞] 塗在...上;給...穿上外套; [名詞] 外套","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"353","國中會考英文常用2000字詞","C","常用800","cockroach","名詞","蟑螂","[名詞] 蟑螂","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"354","國中會考英文常用2000字詞","C","基本1200","coffee","名詞","咖啡","[名詞] 咖啡","24","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"355","國中會考英文常用2000字詞","C","常用800","coin","動詞 / 名詞","鑄造(貨幣);創造,杜撰(新詞等); 硬幣","[動詞] 鑄造(貨幣);創造,杜撰(新詞等); [名詞] 硬幣","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"356","國中會考英文常用2000字詞","C","常用800","cola","名詞","可樂","[名詞] 可樂","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"357","國中會考英文常用2000字詞","C","基本1200","cold","形容詞 / 名詞","寒冷的; 感冒","[形容詞] 寒冷的; [名詞] 感冒","23","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"358","國中會考英文常用2000字詞","C","基本1200","collect","動詞","收集","[動詞] 收集","21","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"359","國中會考英文常用2000字詞","C","常用800","college","名詞","學院;大學","[名詞] 學院;大學","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"360","國中會考英文常用2000字詞","C","基本1200","color","動詞 / 名詞","著色;渲染;文飾;歪曲;影響; 顏色","[動詞] 著色;渲染;文飾;歪曲;影響; [名詞] 顏色","18","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"361","國中會考英文常用2000字詞","C","常用800","colorful","形容詞","富有色彩的","[形容詞] 富有色彩的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"362","國中會考英文常用2000字詞","C","基本1200","comb","動詞 / 名詞","用梳子梳理; 梳子","[動詞] 用梳子梳理; [名詞] 梳子","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"363","國中會考英文常用2000字詞","C","基本1200","come","動詞","到來","[動詞] 到來","126","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"364","國中會考英文常用2000字詞","C","基本1200","comfortable","形容詞","舒適的","[形容詞] 舒適的","19","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"365","國中會考英文常用2000字詞","C","基本1200","comic","形容詞 / 名詞","滑稽的；有趣的; 漫畫雜誌；喜劇演員","[形容詞] 滑稽的；有趣的; [名詞] 漫畫雜誌；喜劇演員","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"366","國中會考英文常用2000字詞","C","常用800","command","動詞 / 名詞","命令;掌握; 指揮;控制; 命令","[動詞] 命令;掌握; 指揮;控制; [名詞] 命令","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"367","國中會考英文常用2000字詞","C","常用800","comment","動詞 / 名詞","評論; 評論","[動詞] 評論; [名詞] 評論","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"368","國中會考英文常用2000字詞","C","基本1200","common","形容詞 / 名詞","常見的;尋常的;普遍的; 有相同（興趣、經歷）; 公共用地,公有地","[形容詞] 常見的;尋常的;普遍的; [名詞] 有相同（興趣、經歷）; 公共用地,公有地","8","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"369","國中會考英文常用2000字詞","C","常用800","company","名詞","公司","[名詞] 公司","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"370","國中會考英文常用2000字詞","C","常用800","compare","動詞","比較","[動詞] 比較","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"371","國中會考英文常用2000字詞","C","常用800","complain","動詞","抱怨","[動詞] 抱怨","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"372","國中會考英文常用2000字詞","C","常用800","complete","形容詞 / 動詞","完整的；徹底的; 完成","[形容詞] 完整的；徹底的; [動詞] 完成","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"373","國中會考英文常用2000字詞","C","基本1200","computer","名詞","電腦","[名詞] 電腦","30","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"374","國中會考英文常用2000字詞","C","常用800","concern","動詞 / 名詞","使擔心; 關懷","[動詞] 使擔心; [名詞] 關懷","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"375","國中會考英文常用2000字詞","C","常用800","confident","形容詞","有信心的","[形容詞] 有信心的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"376","國中會考英文常用2000字詞","C","常用800","confuse","動詞","使迷惑","[動詞] 使迷惑","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"377","國中會考英文常用2000字詞","C","常用800","congratulation","名詞","祝賀","[名詞] 祝賀","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"378","國中會考英文常用2000字詞","C","常用800","consider","動詞","考慮","[動詞] 考慮","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"379","國中會考英文常用2000字詞","C","常用800","considerate","形容詞","體諒的","[形容詞] 體諒的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"380","國中會考英文常用2000字詞","C","常用800","contact lens","名詞","隱形眼鏡","[名詞] 隱形眼鏡","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"381","國中會考英文常用2000字詞","C","常用800","continue","動詞","繼續","[動詞] 繼續","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"382","國中會考英文常用2000字詞","C","常用800","contract","動詞 / 名詞","締結;訂契約;承包;收縮; 契約；合同","[動詞] 締結;訂契約;承包;收縮; [名詞] 契約；合同","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"383","國中會考英文常用2000字詞","C","常用800","control","動詞 / 名詞","控制; 支配;控制;操縱裝置;指揮部","[動詞] 控制; [名詞] 支配;控制;操縱裝置;指揮部","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"384","國中會考英文常用2000字詞","C","常用800","convenience store","名詞","便利商店","[名詞] 便利商店","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"385","國中會考英文常用2000字詞","C","基本1200","convenient","形容詞","方便的","[形容詞] 方便的","14","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"386","國中會考英文常用2000字詞","C","常用800","conversation","名詞","會話","[名詞] 會話","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"387","國中會考英文常用2000字詞","C","基本1200","cook","動詞 / 名詞","煮; 廚師","[動詞] 煮; [名詞] 廚師","18","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"388","國中會考英文常用2000字詞","C","基本1200","cookie","名詞","餅乾","[名詞] 餅乾","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"389","國中會考英文常用2000字詞","C","基本1200","cool","形容詞 / 動詞 / 名詞","涼快的;很棒的;酷; 使涼快;使冷卻; 涼爽","[形容詞] 涼快的;很棒的;酷; [動詞] 使涼快;使冷卻; [名詞] 涼爽","15","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"390","國中會考英文常用2000字詞","C","基本1200","copy","動詞 / 名詞","拷貝;抄襲; 拷貝;副本","[動詞] 拷貝;抄襲; [名詞] 拷貝;副本","10","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"391","國中會考英文常用2000字詞","C","常用800","corn","名詞","玉米","[名詞] 玉米","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"392","國中會考英文常用2000字詞","C","基本1200","corner","名詞","角落","[名詞] 角落","10","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"393","國中會考英文常用2000字詞","C","基本1200","correct","形容詞 / 動詞","正確的; 改正;糾正","[形容詞] 正確的; [動詞] 改正;糾正","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"394","國中會考英文常用2000字詞","C","基本1200","cost","動詞 / 名詞","花費; 費用;成本","[動詞] 花費; [名詞] 費用;成本","13","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"395","國中會考英文常用2000字詞","C","常用800","cotton","名詞","棉花","[名詞] 棉花","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"396","國中會考英文常用2000字詞","C","基本1200","couch","動詞 / 名詞","使躺下;表達;蹲著;埋伏; 長沙發","[動詞] 使躺下;表達;蹲著;埋伏; [名詞] 長沙發","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"397","國中會考英文常用2000字詞","C","常用800","cough","動詞 / 名詞","咳嗽; 咳嗽","[動詞] 咳嗽; [名詞] 咳嗽","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"398","國中會考英文常用2000字詞","C","基本1200","could","助動詞","can 的過去式;能,可以","[助動詞] can 的過去式;能,可以","279","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"399","國中會考英文常用2000字詞","C","基本1200","couldn't","縮短形","could not","[縮短形] could not","20","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"400","國中會考英文常用2000字詞","C","基本1200","count","動詞 / 名詞","計算;數; 計數;計算","[動詞] 計算;數; [名詞] 計數;計算","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"401","國中會考英文常用2000字詞","C","基本1200","country","名詞","國家;鄉下","[名詞] 國家;鄉下","39","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"402","國中會考英文常用2000字詞","C","常用800","couple","動詞 / 名詞","連接;結合;成婚;交配; 一對","[動詞] 連接;結合;成婚;交配; [名詞] 一對","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"403","國中會考英文常用2000字詞","C","常用800","courage","名詞","勇氣","[名詞] 勇氣","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"404","國中會考英文常用2000字詞","C","基本1200","course","動詞 / 名詞","奔流；奔湧；(用獵犬)追獵;追逐; 課程;科目","[動詞] 奔流；奔湧；(用獵犬)追獵;追逐; [名詞] 課程;科目","15","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"405","國中會考英文常用2000字詞","C","常用800","court","動詞 / 名詞","向...獻殷勤;追求;引誘;求婚; 法庭；(網球等的)場地","[動詞] 向...獻殷勤;追求;引誘;求婚; [名詞] 法庭；(網球等的)場地","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"406","國中會考英文常用2000字詞","C","基本1200","cousin","名詞","表(堂)兄弟姊妹","[名詞] 表(堂)兄弟姊妹","9","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"407","國中會考英文常用2000字詞","C","基本1200","cover","動詞 / 名詞","蓋住; 封面","[動詞] 蓋住; [名詞] 封面","10","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"408","國中會考英文常用2000字詞","C","基本1200","cow","名詞","母牛","[名詞] 母牛","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"409","國中會考英文常用2000字詞","C","常用800","cowboy","名詞","牛仔","[名詞] 牛仔","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"410","國中會考英文常用2000字詞","C","常用800","crab","名詞","螃蟹","[名詞] 螃蟹","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"411","國中會考英文常用2000字詞","C","常用800","crayon","名詞","蠟筆","[名詞] 蠟筆","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"412","國中會考英文常用2000字詞","C","基本1200","crazy","形容詞","古怪的;著迷的","[形容詞] 古怪的;著迷的","16","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"413","國中會考英文常用2000字詞","C","常用800","cream","形容詞 / 名詞","奶油色的,淡黃色的,乳黃色的; 奶油","[形容詞] 奶油色的,淡黃色的,乳黃色的; [名詞] 奶油","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"414","國中會考英文常用2000字詞","C","常用800","create","動詞","創造","[動詞] 創造","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"415","國中會考英文常用2000字詞","C","常用800","credit card","名詞","信用卡","[名詞] 信用卡","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"416","國中會考英文常用2000字詞","C","常用800","crime","名詞","犯罪","[名詞] 犯罪","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"417","國中會考英文常用2000字詞","C","基本1200","cross","動詞 / 名詞","越過;渡過; 十字架","[動詞] 越過;渡過; [名詞] 十字架","9","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"418","國中會考英文常用2000字詞","C","常用800","crowd","動詞 / 名詞","擠滿;聚集; 群眾","[動詞] 擠滿;聚集; [名詞] 群眾","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"419","國中會考英文常用2000字詞","C","常用800","crowded","形容詞","擁擠的","[形容詞] 擁擠的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"420","國中會考英文常用2000字詞","C","常用800","cruel","形容詞","殘酷的","[形容詞] 殘酷的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"421","國中會考英文常用2000字詞","C","基本1200","cry","動詞 / 名詞","哭叫; 叫喊;呼叫;(一陣)哭","[動詞] 哭叫; [名詞] 叫喊;呼叫;(一陣)哭","19","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"422","國中會考英文常用2000字詞","C","常用800","culture","名詞","文化","[名詞] 文化","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"423","國中會考英文常用2000字詞","C","基本1200","cup","動詞 / 名詞","使(手掌)成杯狀;把...放入杯內; 杯子","[動詞] 使(手掌)成杯狀;把...放入杯內; [名詞] 杯子","12","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"424","國中會考英文常用2000字詞","C","常用800","cure","動詞 / 名詞","治癒; 痊癒","[動詞] 治癒; [名詞] 痊癒","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"425","國中會考英文常用2000字詞","C","常用800","curious","形容詞","好奇的","[形容詞] 好奇的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"426","國中會考英文常用2000字詞","C","常用800","current","形容詞 / 名詞","現行的；當前的; 水流;電流","[形容詞] 現行的；當前的; [名詞] 水流;電流","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"427","國中會考英文常用2000字詞","C","常用800","curtain","動詞 / 名詞","(用簾子)遮掉,隔開; 窗簾;(舞臺上的)幕","[動詞] (用簾子)遮掉,隔開; [名詞] 窗簾;(舞臺上的)幕","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"428","國中會考英文常用2000字詞","C","常用800","curve","動詞 / 名詞","使彎曲;使成曲線; 曲線","[動詞] 使彎曲;使成曲線; [名詞] 曲線","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"429","國中會考英文常用2000字詞","C","常用800","custom","名詞","習俗","[名詞] 習俗","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"430","國中會考英文常用2000字詞","C","常用800","customer","名詞","顧客","[名詞] 顧客","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"431","國中會考英文常用2000字詞","C","基本1200","cut","動詞 / 名詞","切割;剪; 傷口;刻痕;削減;近路;曠課","[動詞] 切割;剪; [名詞] 傷口;刻痕;削減;近路;曠課","11","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"432","國中會考英文常用2000字詞","C","基本1200","cute","形容詞","可愛的","[形容詞] 可愛的","8","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=C&MainCategoryID=2"
"433","國中會考英文常用2000字詞","D","基本1200","dad","名詞","父親","[名詞] 父親","44","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=D&MainCategoryID=2"
"434","國中會考英文常用2000字詞","D","基本1200","daddy","名詞","父親","[名詞] 父親","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=D&MainCategoryID=2"
"435","國中會考英文常用2000字詞","D","常用800","daily","形容詞 / 副詞 / 名詞","每日的; 每日; 日報","[形容詞] 每日的; [副詞] 每日; [名詞] 日報","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=D&MainCategoryID=2"
"436","國中會考英文常用2000字詞","D","常用800","damage","動詞 / 名詞","損害; 損害","[動詞] 損害; [名詞] 損害","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=D&MainCategoryID=2"
"437","國中會考英文常用2000字詞","D","基本1200","dance","動詞 / 名詞","跳舞; 舞會","[動詞] 跳舞; [名詞] 舞會","23","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=D&MainCategoryID=2"
"438","國中會考英文常用2000字詞","D","常用800","danger","名詞","危險","[名詞] 危險","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=D&MainCategoryID=2"
"439","國中會考英文常用2000字詞","D","基本1200","dangerous","形容詞","危險的","[形容詞] 危險的","19","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=D&MainCategoryID=2"
